ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59
2dm-3,TlS,AB,2,4,4,0.84646,bottom-up,1,3,0.095794,0.17741,0.9814,-1,triclinic,S,Tl,,,,,non-radioactive,no-f-in-valence,276.0,24.2,-0.046766990000000064,-0.0484669900000001,-0.05336698999999978,-0.06126699000000002,-0.07146698999999979,-0.08316699000000005,-0.09546698999999981,-0.10746698999999982,-0.11806698999999998,-0.1268669899999999,-0.13396698999999979,-0.13966698999999982,-0.14446698999999974,-0.14876698999999993,-0.15266698999999972,-0.15646698999999975,-0.1600669899999998,-0.1633669900000001,-0.16636698999999977,-0.16866698999999974,-0.16956698999999986,-0.16956698999999986,-0.16656698999999975,-0.1590669899999999,-0.15006699,-0.14326698999999987,-0.14136698999999986,-0.14646698999999996,-0.15786699000000004,-0.16846698999999976,-0.17966698999999986,-0.19496698999999973,-0.21496698999999975,-0.23936698999999972,-0.26766698999999994,-0.2986669900000001,-0.33106699000000006,-0.36346699000000005,-0.39486699000000014,-0.42426698999999957,-0.4498669900000003,-0.4642669899999996,-0.4642669899999996,-0.46406699000000007,-0.4637669899999999,-0.46326699000000016,-0.46276698999999955,-0.46216699000000006,-0.4615669899999997,-0.4611669899999997,-0.4609669900000002,-0.4609669900000002,-0.4611669899999997,-0.46166699000000033,-0.4623669899999996,-0.46326699000000016,-0.46446699,-0.46576698999999966,-0.46716698999999995,-0.4684669899999996
2dm-21,TaI3,AB3,162,3,3,0.88201,bottom-up,1,1,0.097255,0.23111,0.0,-3m,trigonal,I,Ta,,,,,non-radioactive,no-f-in-valence,652.0,85.2,0.0018463700000002081,0.00044637000000014027,0.004746370000000111,0.025146370000000084,0.050146369999999996,0.06794637000000003,0.0724463700000002,0.06154637000000007,0.036246370000000194,-0.0008536299999999386,-0.04675362999999999,-0.09825362999999987,-0.15225362999999992,-0.20625362999999997,-0.25835363,-0.30715362999999996,-0.3521536299999999,-0.39285362999999984,-0.4287536299999999,-0.45735362999999984,-0.46465362999999993,-0.46465362999999993,-0.47875362999999993,-0.4629536299999999,-0.4327536299999999,-0.3992536299999998,-0.36335363,-0.32545362999999994,-0.2863536299999998,-0.24665362999999996,-0.2067536299999999,-0.16725362999999982,-0.12875362999999984,-0.09165362999999993,-0.0565536299999998,-0.024053629999999826,0.005246370000000056,0.030646370000000145,0.051546370000000064,0.06704637000000013,0.07664637000000019,0.07994637000000004,0.07994637000000004,0.08064637000000019,0.08284637000000017,0.08624637000000002,0.09054637000000021,0.09524637000000014,0.0996463700000001,0.10304637000000016,0.10434637000000002,0.1027463700000002,0.0975463700000001,0.08824637000000002,0.07474637000000017,0.05734637000000009,0.037246370000000084,0.01574637000000001,0.002246370000000164,-0.0027536299999999514
2dm-22,Li2O,AB2,164,3,3,0.96678,bottom-up,1,4,0.037593,0.18798,1.9866,-3m,trigonal,Li,O,,,,,non-radioactive,no-f-in-valence,377.0,5.8,-0.09017501999999977,-0.09277501999999993,-0.10037501999999998,-0.11307501999999969,-0.13057501999999976,-0.15257502,-0.17877501999999978,-0.20877502000000003,-0.2421750199999999,-0.2784750199999997,-0.31717501999999964,-0.3578750199999998,-0.39997501999999985,-0.44297502,-0.48637501999999966,-0.5297750199999998,-0.5725750199999999,-0.6143750199999998,-0.6547750199999998,-0.69337502,-0.7297750199999999,-0.7297750199999999,-0.7210750199999998,-0.7126750199999998,-0.70457502,-0.69697502,-0.6899750199999999,-0.6833750199999997,-0.6773750199999999,-0.6718750199999999,-0.66687502,-0.6623750199999998,-0.6583750199999998,-0.65487502,-0.6517750199999996,-0.6491750199999999,-0.6469750199999997,-0.6451750199999999,-0.6438750199999999,-0.64287502,-0.64227502,-0.64207502,-0.64207502,-0.6072750199999999,-0.57027502,-0.53197502,-0.49287502000000005,-0.4535750199999997,-0.4144750199999998,-0.3759750199999998,-0.3386750199999997,-0.30287501999999966,-0.2689750199999996,-0.23717502000000001,-0.2078750199999999,-0.18137501999999994,-0.15787501999999964,-0.13757501999999988,-0.12067501999999974,-0.10737501999999965
2dm-25,VBr4,AB4,123,3,3,0.97834,bottom-up,1,2,0.14029,0.058544,0.0,4/mmm,tetragonal,Br,V,,,,,non-radioactive,no-f-in-valence,726.0,23.9,-0.9560739700000003,-0.9437739700000005,-0.9059739700000007,-0.8463739700000001,-0.7744739700000007,-0.6976739700000003,-0.6199739700000002,-0.5434739700000009,-0.46947397000000013,-0.3989739700000001,-0.33257397000000033,-0.2707739700000005,-0.2142739700000007,-0.16327397000000055,-0.11837397000000038,-0.07977397000000064,-0.04777397000000061,-0.022673970000000487,-0.004673970000000693,0.0062260299999996604,0.009926029999999919,0.009926029999999919,0.009326029999999541,0.007826029999999484,0.0052260299999993265,0.00172602999999949,-0.0024739700000004916,-0.007173970000000196,-0.012373970000000512,-0.017673970000000594,-0.022773970000000254,-0.027473970000000847,-0.03137397000000064,-0.034073970000000564,-0.035173970000000665,-0.03447397000000052,-0.03167397000000083,-0.027073970000000003,-0.021273970000000197,-0.015573970000000159,-0.011373970000000178,-0.00987397000000012,-0.00987397000000012,-0.013073970000000656,-0.02257397000000072,-0.03837397000000031,-0.06047397000000032,-0.08877397000000009,-0.12317397000000074,-0.16347397000000008,-0.20977397000000053,-0.26167397000000037,-0.31927397000000024,-0.3821739700000002,-0.4501739700000007,-0.5229739700000007,-0.6000739700000004,-0.6808739700000004,-0.7641739700000008,-0.8466739700000003
2dm-29,SBr,AB,2,4,4,0.82037,bottom-up,1,3,0.067035,0.035965,1.8022,-1,triclinic,Br,S,,,,,non-radioactive,no-f-in-valence,276.0,24.2,-0.23651688999999987,-0.23221689000000012,-0.22381689000000016,-0.21471689000000005,-0.20621689000000032,-0.1988168899999998,-0.19301689,-0.1897168899999997,-0.18931688999999974,-0.19241688999999962,-0.19911689,-0.2096168900000004,-0.22321688999999978,-0.23911689000000003,-0.25591688999999995,-0.27191688999999997,-0.2857168899999998,-0.2964168899999997,-0.30381689000000023,-0.30811689,-0.30951689000000027,-0.30951689000000027,-0.30771689,-0.30261689000000036,-0.2947168900000001,-0.2846168899999997,-0.2729168900000003,-0.2604168900000001,-0.24751689,-0.2345168900000001,-0.22191689000000014,-0.2099168899999997,-0.19871689000000003,-0.18841689000000006,-0.17921689000000018,-0.17121689000000018,-0.16431689000000027,-0.15871689,-0.15431689000000048,-0.15121688999999972,-0.14941689000000036,-0.1487168900000002,-0.1487168900000002,-0.1482168900000005,-0.14641689000000024,-0.1421168900000005,-0.1346168900000002,-0.12351689000000032,-0.1092168899999999,-0.09311689000000012,-0.07661689000000038,-0.06161688999999981,-0.04951689000000048,-0.04141688999999982,-0.037816890000000214,-0.03901689000000008,-0.044316890000000164,-0.05291688999999966,-0.06321688999999964,-0.07371689000000003
2dm-31,AlF3,AB3,12,3,3,0.91302,bottom-up,1,3,,0.099925,8.4202,2/m,monoclinic,Al,F,,,,,non-radioactive,no-f-in-valence,620.0,76.7,-0.2588405800000011,-0.25624058000000005,-0.24844058000000047,-0.23644058,-0.22204057999999982,-0.20664058000000018,-0.19134058000000032,-0.17654058000000106,-0.16274057999999947,-0.15024058000000018,-0.13904057999999964,-0.12924058000000116,-0.12084057999999942,-0.11374057999999998,-0.10794058000000106,-0.10334058000000113,-0.09974058000000063,-0.09714057999999959,-0.09544058,-0.09444058000000055,-0.09414057999999947,-0.09414057999999947,-0.09464058000000009,-0.09624057999999991,-0.09884058000000095,-0.10224058000000014,-0.106440580000001,-0.11094058000000118,-0.11554058000000111,-0.11954058000000067,-0.12244058000000102,-0.12344058000000047,-0.12244058000000102,-0.11954058000000067,-0.11554058000000111,-0.11094058000000118,-0.106440580000001,-0.10224058000000014,-0.09884058000000095,-0.09624057999999991,-0.09464058000000009,-0.09414057999999947,-0.09414057999999947,-0.09594058000000061,-0.10104058000000116,-0.10904058000000028,-0.118640580000001,-0.12784058000000087,-0.1336405799999998,-0.1341405800000004,-0.13034058000000037,-0.1250405800000003,-0.12074057999999965,-0.1192405799999996,-0.12184058000000064,-0.12924058000000116,-0.14154058000000092,-0.15894057999999944,-0.18084057999999992,-0.20624058000000112
2dm-32,MoBr3,AB3,12,3,3,0.97822,bottom-up,1,3,,0.057643,1.0679,2/m,monoclinic,Br,Mo,,,,,non-radioactive,no-f-in-valence,620.0,76.7,-0.18603411000000003,-0.18633411000000022,-0.18693411000000015,-0.1875341100000001,-0.18793411000000004,-0.18813411000000002,-0.18773411000000007,-0.1865341100000002,-0.18413411000000002,-0.1804341100000002,-0.1753341100000001,-0.1691341099999999,-0.1623341100000002,-0.15523410999999987,-0.14463411000000015,-0.13043410999999994,-0.11833411000000016,-0.10863411000000012,-0.10163411,-0.09743411000000002,-0.09603411000000017,-0.09603411000000017,-0.0965341099999999,-0.09803410999999995,-0.1005341099999999,-0.10353411000000001,-0.1070341100000003,-0.11033411000000015,-0.11323411000000005,-0.11513411000000007,-0.11563411000000023,-0.11533411000000005,-0.11433411000000016,-0.11243411000000014,-0.10963411,-0.10603410999999996,-0.10213411000000017,-0.09833411000000014,-0.09493411000000007,-0.09223411000000015,-0.09053411000000011,-0.08993411000000018,-0.08993411000000018,-0.09143411000000023,-0.09573410999999998,-0.10293411000000008,-0.1128341100000001,-0.12543411000000004,-0.14033410999999996,-0.15593411000000001,-0.1630341099999999,-0.17003411000000002,-0.1764341100000002,-0.18183411000000005,-0.18593411000000026,-0.18873410999999995,-0.19023411,-0.19093411000000016,-0.19103410999999992,-0.19083410999999995
2dm-34,GaSb3,AB3,164,3,3,0.733,bottom-up,1,3,0.32059,0.29722,0.3806,-3m,trigonal,Ga,Sb,,,,,non-radioactive,no-f-in-valence,654.0,20.3,-0.03464906000000001,-0.03764905999999968,-0.047049059999999976,-0.0638490599999999,-0.08874906000000005,-0.12214905999999992,-0.16374905999999978,-0.21324905999999988,-0.27004905999999984,-0.33334905999999975,-0.39404905999999995,-0.3806490600000001,-0.36454905999999987,-0.3491490599999998,-0.3350490599999998,-0.32274906000000003,-0.31244906000000006,-0.30434905999999984,-0.29854906000000003,-0.29514905999999996,-0.29394905999999965,-0.29394905999999965,-0.29424905999999984,-0.29504905999999975,-0.29644906000000004,-0.29834906000000005,-0.30064906,-0.3035490599999999,-0.3068490599999998,-0.31054906000000004,-0.31474906,-0.31924905999999975,-0.3242490600000001,-0.3295490599999997,-0.33524905999999977,-0.34134905999999976,-0.34774905999999994,-0.35444905999999987,-0.36124906,-0.36764905999999975,-0.3725490599999999,-0.3744490599999999,-0.3744490599999999,-0.3754490599999998,-0.3782490599999999,-0.38284905999999985,-0.38904906000000006,-0.39664905999999966,-0.40524906000000005,-0.37534906,-0.3358490599999997,-0.29534905999999994,-0.2551490599999999,-0.21644905999999997,-0.17994905999999977,-0.1465490599999999,-0.11684905999999984,-0.09154905999999974,-0.07074905999999981,-0.054749059999999794
2dm-56,YbF2,AB2,164,3,3,0.7894,bottom-up,1,3,0.073498,0.10746,7.2622,-3m,trigonal,F,Yb,,,,,non-radioactive,f-in-valence,377.0,5.8,-0.11275029000000103,-0.1153502900000003,-0.1225502899999995,-0.13225029,-0.13895029000000036,-0.13385028999999982,-0.11525029000000053,-0.09085029000000056,-0.06745029000000002,-0.04865028999999943,-0.03675029000000052,-0.03295029000000049,-0.03745029000000066,-0.04975029000000042,-0.06895029000000008,-0.09315029000000052,-0.12025028999999954,-0.1471502900000008,-0.17015029000000048,-0.18525029000000082,-0.1900502900000003,-0.1900502900000003,-0.18905029000000084,-0.18655028999999956,-0.18315029000000038,-0.1792502900000006,-0.17545029000000056,-0.17195028999999984,-0.1690502899999995,-0.16665028999999976,-0.1648502900000004,-0.16365028999999964,-0.16285028999999973,-0.16255029000000043,-0.16255029000000043,-0.16275028999999996,-0.16305029000000104,-0.1634502900000001,-0.1637502900000012,-0.1640502900000005,-0.16425029000000002,-0.1643502899999998,-0.1643502899999998,-0.16055028999999976,-0.149350290000001,-0.13185029000000092,-0.11135029000000074,-0.09195028999999977,-0.07685028999999943,-0.06795029000000063,-0.06625029000000104,-0.07185029000000043,-0.08415029000000018,-0.1023502900000004,-0.12485028999999948,-0.1499502899999996,-0.1753502900000008,-0.1584502900000011,-0.1427502900000004,-0.12995029000000002
2dm-79,NCl4,AB4,1,4,4,0.96742,bottom-up,1,3,,,0.7263,1,triclinic,Cl,N,,,,,non-radioactive,no-f-in-valence,703.0,92.1,-0.09949657999999983,-0.10019657999999998,-0.1021965800000002,-0.10539657999999985,-0.10939657999999985,-0.11399658000000024,-0.11879658000000015,-0.12339658000000009,-0.12769657999999984,-0.1313965800000001,-0.13449657999999998,-0.13669658000000018,-0.13819658000000024,-0.13899658000000015,-0.1392965799999999,-0.13919658000000013,-0.13879658000000017,-0.1383965800000002,-0.13789658000000005,-0.13759657999999986,-0.1374965800000001,-0.1374965800000001,-0.13769658000000007,-0.1383965800000002,-0.1393965800000001,-0.14089658000000016,-0.14269657999999996,-0.14479657999999995,-0.14719658000000013,-0.14979657999999985,-0.15249658000000021,-0.15539658000000012,-0.15819658000000025,-0.16099657999999994,-0.16369657999999987,-0.16609658000000005,-0.16829658000000025,-0.17019658000000026,-0.17169657999999988,-0.17279657999999998,-0.17349658000000012,-0.1736965800000001,-0.1736965800000001,-0.17329658000000014,-0.17209658000000028,-0.17019658000000026,-0.1674965799999999,-0.16399658000000006,-0.15989657999999984,-0.15499658000000016,-0.14929658000000012,-0.14279658000000017,-0.13549657999999987,-0.12729657999999988,-0.1183965800000002,-0.10879657999999992,-0.0988965799999999,-0.08909658000000009,-0.07979658,-0.07159658000000002
