ID,formula,gen_formula,space_group,segments,flat_segments,flatness_score,discovery,binary_flatness,horz_flat_seg,exfoliation_eg,decomp_eng,band_gap,point_group,crystal,A,B,C,D,E,F,radio,f_orb,sg_sto_group,percentage_flat,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,has_dos_fingerprint
2dm-85,GdCl3,AB3,12,3,3,0.99183,bottom-up,1,3,0.069002,0.0,2.3127,2/m,monoclinic,Cl,Gd,0,0,0.0,0.0,non-radioactive,f-in-valence,620.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,7.0,1.0,4.0,3.0,4.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,1.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,905.5286000000001,7.5646,0.0,0.0,67.5741,125.76790000000001,242.23759999999996,168.90120000000002,174.5242,111.31720000000001,92.65179999999998,176.4963,208.4658,410.3683000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.0497,90.161,67.7874,125.2872,104.1035,77.51429999999999,0.0,0.0,9.293999999999999,17.533900000000003,83.32499999999999,113.13479999999998,203.3127,30.182299999999998,26.294700000000006,37.7498,51.117399999999996,78.4246,126.7601,True
2dm-86,RhI3,AB3,12,3,3,0.98298,bottom-up,1,3,0.090944,0.0,1.2412,2/m,monoclinic,I,Rh,0,0,0.0,0.0,non-radioactive,no-f-in-valence,620.0,76.7,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,6.0,1.0,3.0,0.0,2.0,3.0,5.0,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,1.0,2.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174.54020000000003,38.817,182.59930000000003,405.67359999999996,388.57370000000003,321.74460000000005,182.87730000000002,113.01529999999998,212.10769999999997,167.46720000000002,141.3828,140.1931,174.5401,262.3426,265.4536,224.74470000000002,270.0828,330.2836,260.6511,321.4379,205.51549999999997,0.0,0.0,0.0,0.0,0.0,289.4001,294.94369999999986,205.03289999999998,1.1036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3828,59.0606,131.7448,166.2842,147.9722,203.98729999999998,239.81699999999995,270.5892,277.6677,229.2005,352.3513,314.1957,341.377,291.7411000000001,364.66370000000006,372.7547,160.09050000000002,55.2008,11.3624,0.0,True
2dm-89,PO2,AB2,31,4,4,0.90929,bottom-up,1,3,0.0,0.062975,5.1784,mm2,orthorhombic,O,P,0,0,0.0,0.0,non-radioactive,no-f-in-valence,345.0,66.7,1.0,1.0,1.0,0.0,1.0,1.0,3.0,1.0,1.0,1.0,0.0,4.0,2.0,0.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,2.0,0.0,1.0,70.95190000000001,57.85750000000001,48.2443,41.337300000000006,43.479,45.7787,0.0,139.9554,150.01229999999998,106.6069,0.0,0.0,8.772,186.22150000000002,149.1893,53.085800000000006,1.7983,0.0,96.06429999999999,277.46149999999994,97.16980000000001,92.96689999999998,95.63380000000002,203.097,223.2389,107.21589999999999,121.41350000000001,117.61879999999998,216.19620000000003,219.3671,128.8885,155.7066,248.31390000000002,0.0,0.0,0.0,101.00740000000002,321.5586,383.7579,395.97610000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,217.2235,172.7217,25.4289,155.8627,258.4896,87.85440000000001,49.11710000000001,54.187799999999996,53.69369999999999,67.8028,95.0977,68.92580000000002,67.00070000000001,138.44760000000002,93.55399999999999,89.3687,174.14079999999998,True
2dm-101,US3,AB3,129,3,3,0.89943,bottom-up,1,3,0.054266,0.18322,0.0,4/mmm,tetragonal,S,U,0,0,0.0,0.0,radioactive,f-in-valence,647.0,19.2,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5.0,0.0,2.0,1.0,4.0,0.0,0.0,2.0,6.0,3.0,4.0,0.0,2.0,3.0,1.0,3.0,1.0,0.0,2.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.069199999999999,17.217000000000002,21.8819,46.9478,65.57430000000001,52.38799999999999,44.9002,56.6787,107.06929999999998,67.05359999999999,68.67899999999999,52.8608,81.6513,91.10379999999998,100.5445,80.03439999999999,85.4862,102.97160000000001,142.7868,68.97170000000001,45.330499999999994,41.3553,43.386799999999994,56.8602,109.4647,137.44699999999997,223.2429,345.78009999999995,256.1986,122.4889,97.55019999999999,83.1018,45.97749999999999,33.2532,32.7506,36.703,32.709700000000005,23.253199999999996,34.2291,26.762300000000007,38.9917,64.8728,57.790800000000004,80.14579999999998,51.50469999999999,46.9278,53.8984,63.208200000000005,63.997099999999996,73.2389,80.1318,61.369799999999984,52.35869999999999,58.8817,56.5142,108.45490000000001,78.2055,59.28640000000001,42.667,41.01259999999999,36.932300000000005,41.3543,42.009,28.8723,6.724399999999999,0.0,0.0,True
2dm-103,PBr4,AB4,2,4,4,0.94971,bottom-up,1,3,0.16146,0.1457,0.2215,-1,triclinic,Br,P,0,0,0.0,0.0,non-radioactive,no-f-in-valence,705.0,66.7,0.0,0.0,0.0,0.0,1.0,4.0,1.0,0.0,0.0,0.0,6.0,2.0,6.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,4.0,2.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.69920000000002,237.2694,111.4729,94.72769999999998,0.0,0.0,0.0,0.0,0.0,0.0,29.041800000000002,140.0343,178.852,180.30339999999998,197.13629999999998,65.22009999999999,146.19579999999996,227.90349999999995,315.67019999999997,112.087,0.0,0.0,0.0,73.27530000000002,126.9421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.1849,112.16139999999999,135.3286,121.053,154.5546,44.3141,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.484,29.394700000000004,53.46770000000001,56.96959999999999,77.6275,89.69270000000002,120.54679999999998,146.7746,166.2036,204.10389999999998,217.4054,196.5318,226.47939999999997,224.47079999999997,153.73829999999995,23.991799999999998,0.0,0.0,True
2dm-107,ThBr4,AB4,14,4,4,0.94358,bottom-up,1,3,0.0,0.0,2.2969,2/m,monoclinic,Br,Th,0,0,0.0,0.0,radioactive,f-in-valence,717.0,96.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4.0,6.0,8.0,9.0,9.0,6.0,4.0,0.0,0.0,0.0,0.0,5.0,21.0,3.0,3.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6861,423.3263,413.759,568.2418,762.392,469.2598,568.4174,774.4505,804.2108,676.9377999999999,741.3686999999999,705.9966000000001,691.1394,538.6962,606.8240000000001,326.00300000000004,411.0969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,755.5139999999999,1824.3144,2173.3621999999996,793.5837,0.0,214.3606,507.7422,74.65,0.0,175.38440000000003,370.81399999999996,252.4405,1.9223999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2dm-111,InF3,AB3,162,3,3,0.9928,bottom-up,1,3,0.060571,0.082511,4.8898,-3m,trigonal,F,In,0,0,0.0,0.0,non-radioactive,no-f-in-valence,652.0,85.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2.0,3.0,0.0,1.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.82039999999999,110.96240000000002,18.427300000000002,76.34209999999999,74.1602,49.549099999999996,0.0,114.9247,212.30010000000001,216.41699999999994,262.1732,114.91039999999998,65.00150000000001,77.58930000000001,242.02869999999996,322.6611,870.4008,686.2291999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5471,18.834,22.018200000000004,23.289099999999998,27.865000000000002,32.5265,49.576,18.632800000000003,1.5795,10.473300000000002,44.640499999999996,40.50800000000001,31.3348,26.078300000000002,24.706099999999996,21.92889999999999,1.1101999999999999,0.3977,22.8163,True
2dm-119,Sr5Co,AB5,26,4,4,0.97645,bottom-up,1,2,0.0,0.39643,0.0,mm2,orthorhombic,Co,Sr,0,0,0.0,0.0,non-radioactive,no-f-in-valence,776.0,55.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,3.0,10.0,3.0,5.0,6.0,7.0,4.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.624799999999997,45.10889999999999,57.6602,44.630300000000005,68.85490000000001,77.93590000000002,74.5477,69.19649999999999,83.5491,94.89150000000001,226.5107,269.2018,495.76090000000005,763.4077,821.7096,320.5168,270.48729999999995,303.5563,390.26239999999996,497.54209999999995,657.9702,368.62399999999997,702.2421,464.03470000000004,417.67810000000003,487.2275,513.6388000000001,519.2297,446.03650000000005,0.7169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
2dm-121,TlF3,AB3,12,3,3,0.99858,bottom-up,1,3,0.084233,0.02914,3.0332,2/m,monoclinic,F,Tl,0,0,0.0,0.0,non-radioactive,no-f-in-valence,620.0,76.7,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,4.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,422.7203,586.7259,811.3126000000001,175.7914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.8669,124.43619999999999,23.501599999999996,95.28000000000002,68.7975,26.7592,0.0,0.0,0.0,0.0,203.52910000000003,230.198,329.16929999999996,87.003,134.76309999999998,48.011199999999995,218.90669999999997,610.6747,499.84,840.6921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.3311,27.136599999999994,32.8682,38.80440000000001,64.137,25.0781,4.4366,50.0431,59.23219999999999,41.042399999999994,37.5742,7.9384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.496599999999999,25.4518,26.542599999999997,30.9015,True
2dm-128,Ca5La,AB5,1,4,4,0.92603,bottom-up,1,2,0.28402,0.33234,0.0,1,triclinic,Ca,La,0,0,0.0,0.0,non-radioactive,no-f-in-valence,761.0,80.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,2.0,1.0,2.0,4.0,7.0,4.0,6.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7304000000000004,10.139700000000001,11.1391,11.6777,16.0609,25.697100000000002,27.962100000000003,26.057100000000002,30.334499999999995,41.80500000000001,47.20910000000001,63.63239999999999,63.9073,38.1562,78.95219999999999,70.25710000000001,121.18469999999999,109.9635,188.85180000000003,136.4084,188.84969999999998,232.1067,392.82509999999996,206.0869,226.98789999999997,186.5557,226.7503,191.6285,206.76149999999998,169.53619999999998,99.97390000000001,58.70589999999999,32.116600000000005,34.007999999999996,23.357400000000002,1.2953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,True
